"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"LHO^I","LaSalle Hotel Properties","25.72","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/lho^i",
"LFL","LATAM Airlines Group S.A.","7.08","$3.86B","n/a","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/lfl",
"LDF","Latin American Discovery Fund, Inc. (The)","9","$61.45M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ldf",
"LGI","Lazard Global Total Return and Income Fund","12.52","$120.26M","2004","n/a","n/a","http://www.nasdaq.com/symbol/lgi",
"LAZ","Lazard Ltd.","35.49","$4.61B","2005","Finance","Investment Managers","http://www.nasdaq.com/symbol/laz",
"LOR","Lazard World Dividend & Income Fund, Inc.","8.97","$61.72M","2005","n/a","n/a","http://www.nasdaq.com/symbol/lor",
"LZB","La-Z-Boy Incorporated","25.86","$1.29B","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/lzb",
"LEA","Lear Corporation","105.87","$7.88B","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/lea",
"LEE","Lee Enterprises, Incorporated","1.8","$99.96M","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/lee",
"BWG","Legg Mason BW Global Income Opportunities Fund Inc.","12.46","$262.62M","2012","n/a","n/a","http://www.nasdaq.com/symbol/bwg",
"LM","Legg Mason, Inc.","32.19","$3.47B","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/lm",
